Activity Number,Year,Unit,Activity Name,describe,equal,point,term,number,line,rate,graph,add,function,similar,ratio,angle,formula,expression,context,solve,table,linear,variable,algebra,relationship,area,data,triangle,multiply,coordinate,system,geometry,proof,reflect,probability,symbol,coefficient,shape,distance,axis,factor,sketch,scale,complex,divide,proportion,fraction,period,exponent,average,interpret,theorem,arithmetic,range,parallel,units,quadratic,curve,subtract,trig,maximize,polygon,speed,sine,slope,circle,rectangle,integer,distribute,radius,constraint,exponential,percent,perpendicular,transform,inequality,quantity,standard deviation,pythagorean,degree,function notation,rotation,minimize,matrix,derivative,intercept,volume,symmetry,series,root,binomial,tangent,cosine,translate,inverse,parabola,perimeter,acute,absolute value,congruent,midpoint,vector,rational,frequency,statistics,circumference,polynomial,personal,logarithm,cone,domain,permutation,remainder,parallelogram,equilateral,velocity,calculus,hexagon,irrational,pyramid,magnitude,amplitude,trapezoid,cylinder,commutative,radical,radian,margin of error,compose,dilate,polar,correlate,diameter,trend,associative,scalar,determinant,sphere,cartesian,piecewise,conjugate,modulus
0,Year 1,Patterns,The Importance of Patterns,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Year 1,Patterns,Whats Next?,2,1,0,2,2,0,1,1,2,2,0,1,0,0,1,1,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Year 1,Patterns,Past Experiences,2,1,0,2,2,1,2,1,2,2,1,2,0,0,1,1,1,1,0,1,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Year 1,Patterns,POW 1: The Broken Eggs,3,1,1,3,3,1,3,1,3,2,2,3,0,0,2,2,1,1,0,1,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Year 1,Patterns,Whos Who?,4,2,2,4,4,2,4,2,4,3,3,4,0,1,3,3,2,2,1,2,4,2,0,1,0,1,0,0,0,1,1,0,2,1,0,0,0,1,0,0,1,2,0,1,0,1,0,1,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Year 1,Patterns,The Standard POW Write-Up,4,2,2,4,4,2,4,2,4,3,3,4,0,1,3,3,2,3,1,2,4,2,0,1,0,1,0,0,0,1,1,0,2,1,0,0,0,1,0,0,1,2,0,1,0,1,0,1,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Year 1,Patterns,Inside Out,5,3,3,5,5,3,5,3,5,4,4,5,0,1,3,4,2,4,2,2,4,3,0,2,0,1,0,0,0,1,1,0,3,1,0,0,0,1,0,0,1,3,0,2,0,1,0,2,0,1,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Year 1,Patterns,Calculator Exploration,5,3,3,5,6,3,6,4,6,5,4,6,0,1,4,4,2,4,2,2,4,3,0,2,0,2,0,0,0,1,1,0,3,1,0,0,0,2,0,0,1,4,0,2,0,2,0,2,0,1,4,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Year 1,Patterns,Pulling Out Rules,6,4,4,6,7,4,7,4,7,6,4,7,0,2,5,5,3,5,3,3,5,3,0,3,0,3,0,0,0,1,1,0,4,2,0,0,0,2,0,0,1,4,0,2,0,2,0,2,0,1,4,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Year 1,Patterns,Lonesome Llama,7,5,4,7,8,5,8,4,7,7,4,8,0,2,5,5,4,5,3,3,5,3,0,3,0,3,0,0,1,1,2,0,4,2,0,0,0,2,0,0,1,4,0,2,0,2,0,2,0,1,4,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
